Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
2.1923    /	439.82         	/	63.82          	/	440.82         	/	1791.62        	/	2826.07        
2.2023    /	439.86         	/	63.74          	/	441.61         	/	1619.70        	/	2859.93        
2.2123    /	440.10         	/	63.77          	/	441.48         	/	1710.50        	/	2988.73        
2.2223    /	440.00         	/	63.84          	/	441.62         	/	1893.85        	/	2966.63        
2.2323    /	439.97         	/	63.87          	/	441.27         	/	1869.16        	/	2838.34        
2.2423    /	440.23         	/	63.90          	/	441.33         	/	1928.90        	/	3000.12        
2.2523    /	440.26         	/	63.87          	/	441.78         	/	1836.87        	/	2987.12        
2.2623    /	440.00         	/	63.87          	/	440.93         	/	1868.89        	/	2748.16        
2.2723    /	439.79         	/	63.91          	/	440.51         	/	1823.87        	/	2869.61        
2.2823    /	440.28         	/	63.87          	/	441.99         	/	1779.77        	/	3073.86        
2.2923    /	439.95         	/	63.76          	/	441.53         	/	1621.43        	/	2748.11        
2.3023    /	439.79         	/	63.73          	/	441.14         	/	1730.81        	/	2754.93        
2.3123    /	440.20         	/	63.77          	/	441.96         	/	1938.20        	/	3174.76        
2.3223    /	440.11         	/	63.79          	/	442.23         	/	2032.46        	/	3093.60        
2.3323    /	439.93         	/	63.79          	/	441.58         	/	2014.36        	/	2938.79        
2.3423    /	439.83         	/	63.80          	/	441.01         	/	1827.30        	/	2806.38        
2.3523    /	440.18         	/	63.83          	/	441.82         	/	1764.59        	/	2892.53        
2.3623    /	440.21         	/	63.83          	/	441.94         	/	1826.12        	/	3096.58        
2.3723    /	439.74         	/	63.86          	/	441.63         	/	1835.60        	/	2804.13        
2.3823    /	439.86         	/	63.84          	/	441.78         	/	1795.79        	/	3043.55        
2.3923    /	440.14         	/	63.73          	/	441.74         	/	1842.99        	/	3124.50        
2.4023    /	440.03         	/	63.63          	/	441.72         	/	1709.43        	/	2847.39        
2.4123    /	440.00         	/	63.65          	/	443.24         	/	1790.99        	/	3048.77        
2.4223    /	440.27         	/	63.68          	/	445.51         	/	1748.58        	/	2892.60        
2.4323    /	440.09         	/	63.73          	/	442.58         	/	1758.27        	/	2736.70        
2.4423    /	440.02         	/	63.83          	/	441.39         	/	1846.36        	/	2831.88        
2.4523    /	439.99         	/	63.89          	/	441.21         	/	1753.33        	/	2868.44        
2.4623    /	440.19         	/	63.90          	/	441.62         	/	1771.75        	/	2775.79        
2.4723    /	440.07         	/	63.89          	/	442.02         	/	1874.80        	/	2627.26        
2.4823    /	439.71         	/	63.91          	/	442.58         	/	1945.84        	/	2756.33        
2.4923    /	440.08         	/	63.87          	/	441.82         	/	1723.67        	/	2847.20        
2.5023    /	440.12         	/	63.80          	/	441.42         	/	1698.65        	/	3069.89        
2.5123    /	439.95         	/	63.83          	/	442.07         	/	2003.19        	/	3034.21        
2.5223    /	439.83         	/	63.84          	/	441.21         	/	1987.36        	/	3089.75        
2.5323    /	439.93         	/	63.80          	/	441.27         	/	1765.14        	/	2575.56        
2.5423    /	440.15         	/	63.84          	/	441.58         	/	1838.07        	/	2825.69        
2.5523    /	440.08         	/	63.86          	/	441.28         	/	1725.68        	/	2743.07        
2.5623    /	440.14         	/	63.83          	/	441.73         	/	1540.98        	/	2646.00        
2.5723    /	439.70         	/	63.85          	/	440.83         	/	1754.31        	/	2937.82        
2.5823    /	440.08         	/	63.91          	/	441.43         	/	1678.40        	/	2890.40        
2.5923    /	439.98         	/	63.93          	/	441.15         	/	1829.51        	/	3068.24        
2.6023    /	440.05         	/	63.87          	/	440.93         	/	1855.00        	/	2699.83        
2.6123    /	439.99         	/	63.81          	/	441.29         	/	1994.33        	/	2771.06        
2.6223    /	439.93         	/	63.77          	/	441.57         	/	2001.75        	/	2586.69        
2.6323    /	440.06         	/	63.82          	/	442.02         	/	1707.79        	/	3107.85        
2.6423    /	440.13         	/	63.87          	/	441.81         	/	1836.34        	/	3126.09        
2.6523    /	439.90         	/	63.85          	/	441.65         	/	1775.79        	/	2619.14        
2.6623    /	439.88         	/	63.81          	/	441.37         	/	1926.83        	/	3061.02        
2.6723    /	439.97         	/	63.75          	/	441.18         	/	1775.61        	/	2859.06        
2.6823    /	440.08         	/	63.72          	/	441.89         	/	1702.08        	/	2683.26        
2.6923    /	439.89         	/	63.67          	/	441.02         	/	1846.61        	/	3083.94        
2.7023    /	440.07         	/	63.65          	/	441.14         	/	1882.36        	/	3159.78        
2.7123    /	440.08         	/	63.70          	/	443.96         	/	1610.16        	/	2913.06        
2.7223    /	439.90         	/	63.75          	/	444.02         	/	1391.79        	/	2587.97        
2.7323    /	440.26         	/	63.74          	/	441.53         	/	1756.34        	/	2861.60        
