Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.1996    /	437.50         	/	7.85           
0.1996    /	457.03         	/	10.26          
0.1996    /	476.56         	/	9.28           
0.1996    /	496.09         	/	7.72           
0.1996    /	515.62         	/	13.30          
0.1996    /	535.16         	/	37.80          
0.1996    /	554.69         	/	62.57          
0.1996    /	574.22         	/	70.09          
0.1996    /	593.75         	/	73.43          
0.1996    /	613.28         	/	66.29          
0.1996    /	632.81         	/	50.88          
0.1996    /	652.34         	/	24.22          
0.1996    /	671.88         	/	17.81          
0.1996    /	691.41         	/	6.68           
0.1996    /	710.94         	/	-0.55          
0.1996    /	730.47         	/	-13.66         
0.1996    /	750.00         	/	-20.16         
0.1996    /	769.53         	/	13.10          
0.1996    /	789.06         	/	9.28           
0.1996    /	808.59         	/	38.87          
0.1996    /	828.12         	/	52.93          
0.1996    /	847.66         	/	61.79          
0.1996    /	867.19         	/	64.86          
0.1996    /	886.72         	/	64.42          
0.1996    /	906.25         	/	60.80          
0.1996    /	925.78         	/	51.71          
0.1996    /	945.31         	/	38.44          
0.1996    /	964.84         	/	21.03          
0.1996    /	984.38         	/	16.91          
0.1996    /	1003.91        	/	16.40          
0.1996    /	1023.44        	/	14.68          
0.1996    /	1042.97        	/	22.38          
0.1996    /	1062.50        	/	33.81          
0.1996    /	1082.03        	/	59.96          
0.1996    /	1101.56        	/	74.71          
0.1996    /	1121.09        	/	78.84          
0.1996    /	1140.62        	/	82.95          
0.1996    /	1160.16        	/	84.06          
0.1996    /	1179.69        	/	84.33          
0.1996    /	1199.22        	/	82.49          
0.1996    /	1218.75        	/	79.42          
0.1996    /	1238.28        	/	70.46          
0.1996    /	1257.81        	/	56.26          
0.1996    /	1277.34        	/	44.71          
0.1996    /	1296.88        	/	33.04          
0.1996    /	1316.41        	/	27.29          
0.1996    /	1335.94        	/	41.33          
0.1996    /	1355.47        	/	59.98          
0.1996    /	1375.00        	/	71.80          
0.1996    /	1394.53        	/	77.88          
0.1996    /	1414.06        	/	77.56          
0.1996    /	1433.59        	/	74.60          
0.1996    /	1453.12        	/	73.89          
0.1996    /	1472.66        	/	72.35          
0.1996    /	1492.19        	/	67.73          
0.1996    /	1511.72        	/	63.08          
0.1996    /	1531.25        	/	56.83          
0.1996    /	1550.78        	/	48.44          
0.1996    /	1570.31        	/	28.97          
0.1996    /	1589.84        	/	24.31          
0.1996    /	1609.38        	/	29.05          
0.1996    /	1628.91        	/	31.41          
0.1996    /	1648.44        	/	48.76          
0.1996    /	1667.97        	/	54.36          
0.1996    /	1687.50        	/	57.06          
0.1996    /	1707.03        	/	58.96          
0.1996    /	1726.56        	/	61.09          
0.1996    /	1746.09        	/	62.89          
0.1996    /	1765.62        	/	63.66          
0.1996    /	1785.16        	/	60.82          
0.1996    /	1804.69        	/	61.11          
0.1996    /	1824.22        	/	59.42          
0.1996    /	1843.75        	/	56.75          
0.1996    /	1863.28        	/	50.70          
0.1996    /	1882.81        	/	45.88          
0.1996    /	1902.34        	/	44.29          
0.1996    /	1921.88        	/	51.99          
0.1996    /	1941.41        	/	64.38          
0.1996    /	1960.94        	/	71.30          
0.1996    /	1980.47        	/	73.03          
0.1996    /	2000.00        	/	72.18          
0.1996    /	2019.53        	/	73.51          
0.1996    /	2039.06        	/	70.70          
0.1996    /	2058.59        	/	68.83          
0.1996    /	2078.12        	/	74.00          
0.1996    /	2097.66        	/	76.51          
0.1996    /	2117.19        	/	72.30          
0.1996    /	2136.72        	/	71.57          
0.1996    /	2156.25        	/	64.42          
0.1996    /	2175.78        	/	56.38          
0.1996    /	2195.31        	/	59.93          
0.1996    /	2214.84        	/	56.98          
0.1996    /	2234.38        	/	64.35          
0.1996    /	2253.91        	/	68.58          
0.1996    /	2273.44        	/	69.05          
0.1996    /	2292.97        	/	66.18          
0.1996    /	2312.50        	/	65.11          
0.1996    /	2332.03        	/	64.02          
0.1996    /	2351.56        	/	60.31          
0.1996    /	2371.09        	/	57.50          
0.1996    /	2390.62        	/	58.93          
0.1996    /	2410.16        	/	54.18          
0.1996    /	2429.69        	/	55.70          
0.1996    /	2449.22        	/	53.91          
0.1996    /	2468.75        	/	45.14          
0.1996    /	2488.28        	/	39.83          
0.1996    /	2507.81        	/	45.90          
0.1996    /	2527.34        	/	44.82          
0.1996    /	2546.88        	/	45.44          
0.1996    /	2566.41        	/	46.27          
0.1996    /	2585.94        	/	42.30          
0.1996    /	2605.47        	/	36.64          
0.1996    /	2625.00        	/	40.01          
0.1996    /	2644.53        	/	41.04          
0.1996    /	2664.06        	/	43.03          
0.1996    /	2683.59        	/	40.03          
0.1996    /	2703.12        	/	32.18          
0.1996    /	2722.66        	/	35.40          
0.1996    /	2742.19        	/	36.65          
0.1996    /	2761.72        	/	37.51          
0.1996    /	2781.25        	/	34.36          
0.1996    /	2800.78        	/	36.86          
0.1996    /	2820.31        	/	40.02          
0.1996    /	2839.84        	/	39.98          
0.1996    /	2859.38        	/	37.39          
0.1996    /	2878.91        	/	39.04          
0.1996    /	2898.44        	/	37.73          
0.1996    /	2917.97        	/	37.11          
0.1996    /	2937.50        	/	35.45          
0.1996    /	2957.03        	/	38.23          
0.1996    /	2976.56        	/	35.82          
0.1996    /	2996.09        	/	39.89          
0.1996    /	3015.62        	/	40.87          
0.1996    /	3035.16        	/	38.82          
0.1996    /	3054.69        	/	35.01          
0.1996    /	3074.22        	/	36.13          
0.1996    /	3093.75        	/	31.69          
0.1996    /	3113.28        	/	35.23          
0.1996    /	3132.81        	/	34.50          
0.1996    /	3152.34        	/	33.77          
0.1996    /	3171.88        	/	32.46          
0.1996    /	3191.41        	/	35.53          
0.1996    /	3210.94        	/	34.80          
0.1996    /	3230.47        	/	34.21          
0.1996    /	3250.00        	/	30.75          
0.1996    /	3269.53        	/	24.78          
0.1996    /	3289.06        	/	26.44          
0.1996    /	3308.59        	/	33.86          
0.1996    /	3328.12        	/	31.14          
0.1996    /	3347.66        	/	27.92          
0.1996    /	3367.19        	/	31.11          
0.1996    /	3386.72        	/	22.27          
0.1996    /	3406.25        	/	16.47          
0.1996    /	3425.78        	/	12.84          
0.1996    /	3445.31        	/	12.39          
0.1996    /	3464.84        	/	2.52           
0.1996    /	3484.38        	/	3.88           
0.1996    /	3503.91        	/	-2.16          
0.1996    /	3523.44        	/	5.67           
0.1996    /	3542.97        	/	10.27          
0.1996    /	3562.50        	/	15.90          
0.1996    /	3582.03        	/	20.65          
0.1996    /	3601.56        	/	30.27          
0.1996    /	3621.09        	/	26.88          
0.1996    /	3640.62        	/	23.55          
0.1996    /	3660.16        	/	27.97          
0.1996    /	3679.69        	/	31.54          
0.1996    /	3699.22        	/	30.59          
0.1996    /	3718.75        	/	28.27          
0.1996    /	3738.28        	/	26.03          
0.1996    /	3757.81        	/	26.58          
0.1996    /	3777.34        	/	24.21          
0.1996    /	3796.88        	/	20.22          
0.1996    /	3816.41        	/	27.49          
0.1996    /	3835.94        	/	25.49          
0.1996    /	3855.47        	/	32.52          
0.1996    /	3875.00        	/	31.37          
0.1996    /	3894.53        	/	34.58          
0.1996    /	3914.06        	/	33.10          
0.1996    /	3933.59        	/	26.78          
0.1996    /	3953.12        	/	29.78          
0.1996    /	3972.66        	/	21.92          
0.2066    /	7.81           	/	-5.91          
0.2066    /	27.34          	/	3.41           
0.2066    /	46.88          	/	16.91          
0.2066    /	66.41          	/	26.33          
0.2066    /	85.94          	/	7.13           
0.2066    /	105.47         	/	-17.84         
0.2066    /	125.00         	/	0.50           
0.2066    /	144.53         	/	-5.73          
0.2066    /	164.06         	/	-10.30         
0.2066    /	183.59         	/	20.95          
0.2066    /	203.12         	/	31.67          
0.2066    /	222.66         	/	1.77           
0.2066    /	242.19         	/	14.29          
0.2066    /	261.72         	/	48.60          
0.2066    /	281.25         	/	67.52          
0.2066    /	300.78         	/	79.53          
0.2066    /	320.31         	/	68.59          
0.2066    /	339.84         	/	35.90          
0.2066    /	359.38         	/	18.05          
0.2066    /	378.91         	/	14.51          
0.2066    /	398.44         	/	13.00          
0.2066    /	417.97         	/	10.80          
0.2066    /	437.50         	/	10.86          
0.2066    /	457.03         	/	11.39          
0.2066    /	476.56         	/	8.24           
0.2066    /	496.09         	/	9.49           
0.2066    /	515.62         	/	11.26          
0.2066    /	535.16         	/	28.24          
0.2066    /	554.69         	/	55.78          
0.2066    /	574.22         	/	66.17          
0.2066    /	593.75         	/	73.72          
0.2066    /	613.28         	/	69.90          
0.2066    /	632.81         	/	57.37          
0.2066    /	652.34         	/	33.07          
0.2066    /	671.88         	/	25.52          
0.2066    /	691.41         	/	8.44           
0.2066    /	710.94         	/	-0.10          
0.2066    /	730.47         	/	-12.82         
0.2066    /	750.00         	/	-21.26         
0.2066    /	769.53         	/	11.90          
0.2066    /	789.06         	/	7.77           
0.2066    /	808.59         	/	28.19          
0.2066    /	828.12         	/	43.60          
0.2066    /	847.66         	/	56.00          
0.2066    /	867.19         	/	61.40          
0.2066    /	886.72         	/	63.08          
0.2066    /	906.25         	/	62.64          
0.2066    /	925.78         	/	55.80          
0.2066    /	945.31         	/	43.39          
0.2066    /	964.84         	/	24.70          
0.2066    /	984.38         	/	18.65          
0.2066    /	1003.91        	/	15.19          
0.2066    /	1023.44        	/	13.25          
0.2066    /	1042.97        	/	17.20          
0.2066    /	1062.50        	/	25.13          
0.2066    /	1082.03        	/	48.60          
0.2066    /	1101.56        	/	66.32          
0.2066    /	1121.09        	/	71.69          
0.2066    /	1140.62        	/	78.42          
0.2066    /	1160.16        	/	81.28          
0.2066    /	1179.69        	/	83.39          
0.2066    /	1199.22        	/	83.35          
0.2066    /	1218.75        	/	82.47          
0.2066    /	1238.28        	/	75.44          
0.2066    /	1257.81        	/	60.20          
0.2066    /	1277.34        	/	41.52          
0.2066    /	1296.88        	/	28.46          
0.2066    /	1316.41        	/	27.07          
0.2066    /	1335.94        	/	30.43          
0.2066    /	1355.47        	/	47.72          
0.2066    /	1375.00        	/	62.53          
0.2066    /	1394.53        	/	70.48          
0.2066    /	1414.06        	/	71.84          
0.2066    /	1433.59        	/	70.16          
0.2066    /	1453.12        	/	70.92          
0.2066    /	1472.66        	/	71.25          
0.2066    /	1492.19        	/	68.23          
0.2066    /	1511.72        	/	65.57          
0.2066    /	1531.25        	/	61.21          
0.2066    /	1550.78        	/	53.38          
0.2066    /	1570.31        	/	37.09          
0.2066    /	1589.84        	/	26.15          
0.2066    /	1609.38        	/	30.70          
0.2066    /	1628.91        	/	26.59          
0.2066    /	1648.44        	/	40.05          
0.2066    /	1667.97        	/	46.44          
0.2066    /	1687.50        	/	50.95          
0.2066    /	1707.03        	/	53.72          
0.2066    /	1726.56        	/	57.15          
0.2066    /	1746.09        	/	60.11          
0.2066    /	1765.62        	/	62.37          
0.2066    /	1785.16        	/	61.13          
